"id","course_no","question_no","similarity","created_at"
1,332901,3,0.6923493918724926,2026-09-14 11:58:53.318
2,40565,3,0.6857664691477446,2026-09-14 11:58:53.318
3,333210,3,0.6738345361036769,2026-09-14 11:58:53.318
4,324217,5,0.7202167555444321,2026-09-14 11:58:53.318
5,330947,5,0.676280807122444,2026-09-14 11:58:53.318
6,326434,8,0.6760088023719845,2026-09-14 11:58:53.318
7,174004,9,0.6935603671673712,2026-09-14 11:58:53.318
8,324192,9,0.6804645045682829,2026-09-14 11:58:53.318
9,324139,9,0.679633996332402,2026-09-14 11:58:53.318
10,324139,11,0.6852085162710546,2026-09-14 11:58:53.318
11,174004,12,0.6872984785522409,2026-09-14 11:58:53.318
12,324139,12,0.6815414998523763,2026-09-14 11:58:53.318
13,40565,13,0.714111231732961,2026-09-14 11:58:53.318
14,332901,13,0.7093392665755588,2026-09-14 11:58:53.318
15,329808,13,0.6965046460610909,2026-09-14 11:58:53.318
16,329492,15,0.7632449926739192,2026-09-14 11:58:53.318
17,327819,15,0.7442726476522118,2026-09-14 11:58:53.318
18,326035,15,0.7245236111022348,2026-09-14 11:58:53.318
19,329551,18,0.6704371436410773,2026-09-14 11:58:53.318
20,326624,20,0.6823757865710819,2026-09-14 11:58:53.318
21,331149,21,0.6971179718124814,2026-09-14 11:58:53.318
22,324139,26,0.7436103244880938,2026-09-14 11:58:53.318
23,324192,26,0.734110724205692,2026-09-14 11:58:53.318
24,332506,26,0.7213873147095543,2026-09-14 11:58:53.318
25,333307,30,0.679586064303547,2026-09-14 11:58:53.318
26,149177,31,0.7010443471761904,2026-09-14 11:58:53.318
27,333095,31,0.6822892233091413,2026-09-14 11:58:53.318
28,330656,31,0.6760040614238494,2026-09-14 11:58:53.318
29,328348,34,0.7132462516674347,2026-09-14 11:58:53.318
30,331619,34,0.6958346530284615,2026-09-14 11:58:53.318
31,331149,35,0.7075081391869835,2026-09-14 11:58:53.318
32,333307,35,0.6999396002234469,2026-09-14 11:58:53.318
33,333276,35,0.6960936181145713,2026-09-14 11:58:53.318
